№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
489,98646448101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Среднеколымский муниципальный район,98646000,Сельские поселения Среднеколымского муниципального района,Хатынгнахский наслег,с,село,Хатынгнах,98646448101,241,2,67.4930555555556,152.603611111111,,,,,,,,,,,,
490,98648404101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Аллагинский наслег,с,село,Аллага,98648404101,430,2,62.2286111111111,117.05,,,,,,,,,,,,
491,98648405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Арылахский наслег,с,село,Усун-Кюёль,98648405101,622,2,62.2858333333333,116.864166666667,,,,,,,,,,,,
492,98648410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Бордонский наслег,с,село,Сарданга,98648410101,820,2,61.9286111111111,117.165,,,,,,,,,,,,
493,98648415101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Вилючанский наслег,с,село,Хордогой,98648415101,600,2,62.6063888888889,115.678333333333,,,,,,,,,,,,
494,98648415106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Вилючанский наслег,с,село,Оюсут,98648415106,2,2,62.8183333333333,115.211388888889,,,,,,,,,,,,
495,98648420101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Жарханский наслег,с,село,Арылах (Жархан),98648420101,468,2,62.3719444444444,116.640833333333,,,,,,,,,,,,
496,98648422101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Илимнирский наслег,с,село,Илимнир,98648422101,271,2,62.0255555555556,117.423055555556,,,,,,,,,,,,
497,98648425101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Кемпендяйский наслег,с,село,Кемпендяй,98648425101,357,2,62.0311111111111,118.639722222222,,,,,,,,,,,,
498,98648425106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Кемпендяйский наслег,с,село,Чайыгда,98648425106,0,2,62.2561111111111,119.743888888889,,,,,,,,,,,,
499,98648430101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Крестяхский наслег,с,село,Крестях,98648430101,794,2,62.2516666666667,116.171111111111,,,,,,,,,,,,
500,98648435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Куокунинский наслег,с,село,Куокуну,98648435101,518,2,62.0930555555556,116.2225,,,,,,,,,,,,
501,98648440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Кутанинский наслег,с,село,Кутана,98648440101,721,2,62.7147222222222,117.571944444444,,,,,,,,,,,,
502,98648440106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Кутанинский наслег,с,село,Тумул,98648440106,2,2,62.7230555555556,117.749444444444,,,,,,,,,,,,
503,98648443101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Кюкяйский наслег,с,село,Кюкей,98648443101,390,2,62.7677777777778,117.7225,,,,,,,,,,,,
504,98648445101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Кюндяйинский наслег,с,село,Кюндяе,98648445101,723,2,62.3455555555556,117.701666666667,,,,,,,,,,,,
505,98648445106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Кюндяйинский наслег,с,село,Эльгян,98648445106,9,2,62.4016666666667,117.540833333333,,,,,,,,,,,,
506,98648445111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Кюндяйинский наслег,с,село,Харыялах,98648445111,0,2,62.4255555555556,117.854444444444,,,,,,,,,,,,
507,98648450101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Мар-Кюельский наслег,с,село,Мар-Кюёль,98648450101,431,2,62.3969444444444,117.011111111111,,,,,,,,,,,,
508,98648452101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Нахаринский наслег,с,село,Нахара,98648452101,110,2,62.4655555555556,115.719444444444,,,,,,,,,,,,
509,98648455101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Сунтарский наслег,с,село,Сунтар,98648455101,10035,2,62.16,117.643888888889,,,,,,,,,,,,
510,98648457101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Тенкинский наслег,с,село,Тенкя,98648457101,100,2,61.9983333333333,116.561666666667,,,,,,,,,,,,
511,98648459101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Толонский наслег,с,село,Толон,98648459101,125,2,62.58528805,117.49992672,,,,,,,,,,,,
512,98648460101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Тойбохойский наслег,с,село,Тойбохой,98648460101,1426,2,62.1858333333333,116.75,,,,,,,,,,,,
513,98648461101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Туойдахский наслег,с,село,Туойдах,98648461101,168,2,62.0197222222222,117.720277777778,,,,,,,,,,,,
514,98648462101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Тюбяй-Жарханский наслег,с,село,Арылах,98648462101,478,2,62.9963976,117.51056354,,,,,,,,,,,,
515,98648462106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Тюбяй-Жарханский наслег,с,село,Миляке,98648462106,0,2,63.0625,116.412777777778,,,,,,,,,,,,
516,98648462111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Тюбяй-Жарханский наслег,с,село,Ыгыатта,98648462111,25,2,62.9738888888889,117.487222222222,,,,,,,,,,,,
517,98648463101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Тюбяйский наслег,с,село,Тюбяй,98648463101,220,2,62.8811111111111,117.473055555556,,,,,,,,,,,,
518,98648463106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Тюбяйский наслег,с,село,Нерюктяй,98648463106,0,2,62.8013888888889,117.424722222222,,,,,,,,,,,,
519,98648465101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Хаданский наслег,с,село,Агдары,98648465101,312,2,61.9983333333333,117.4775,,,,,,,,,,,,
520,98648465106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Хаданский наслег,с,село,Толон,98648465106,0,2,62.0105555555556,117.483333333333,,,,,,,,,,,,
521,98648465111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Хаданский наслег,с,село,Эйикяр,98648465111,0,2,61.8841666666667,117.501944444444,,,,,,,,,,,,
522,98648466101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Хоринский наслег,с,село,Хоро,98648466101,241,2,62.5533333333333,117.807222222222,,,,,,,,,,,,
523,98648470101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Шеинский наслег,с,село,Шея,98648470101,567,2,62.8588888888889,117.549444444444,,,,,,,,,,,,
524,98648470106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Шеинский наслег,с,село,Комсомол,98648470106,0,2,62.9027777777778,117.619722222222,,,,,,,,,,,,
525,98648470111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Шеинский наслег,с,село,Бясь-Шея,98648470111,0,2,62.8327777777778,117.535555555556,,,,,,,,,,,,
526,98648475101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Эльгяйский наслег,с,село,Эльгяй,98648475101,1569,2,62.4855555555556,117.510833333333,,,,,,,,,,,,
527,98648475106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Эльгяйский наслег,с,село,Бордон 3-й,98648475106,1,2,62.6391666666667,117.37,,,,,,,,,,,,
528,98648480101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Сунтарский муниципальный район,98648000,Сельские поселения Сунтарского муниципального района,Устьинский наслег,с,село,Устье,98648480101,311,2,62.165,117.733055555556,,,,,,,,,,,,
529,98650151051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Городские поселения Томпонского муниципального района,поселок Хандыга,п,поселок,Хандыга,98650151051,5179,1,62.6533333333333,135.559166666667,,,,,,,,,,,,
530,98650152051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Городские поселения Томпонского муниципального района,поселок Джебарики-Хая,п,поселок,Джебарики-Хая,98650152051,1008,1,62.2169444444444,135.859444444444,,,,,,,,,,,,
531,98650405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Баягантайский наслег,с,село,Крест-Хальджай,98650405101,1332,2,62.8133333333333,134.512222222222,,,,,,,,,,,,
532,98650405106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Баягантайский наслег,с,село,Ары-Толон,98650405106,167,2,62.8519444444444,134.292777777778,,,,,,,,,,,,
533,98650405111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Баягантайский наслег,с,село,Ударник,98650405111,140,2,62.9302777777778,134.463611111111,,,,,,,,,,,,
534,98650415101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Мегино-Алданский наслег,с,село,Мегино-Алдан,98650415101,913,2,62.6994444444444,134.613611111111,,,,,,,,,,,,
535,98650425101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Охот-Перевозовский наслег,с,село,Охотский-Перевоз,98650425101,136,2,61.8775,135.527777777778,,,,,,,,,,,,
536,98650430101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Сасыльский наслег,с,село,Кескил,98650430101,550,2,62.6516666666667,135.007777777778,,,,,,,,,,,,
537,98650433101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Теплоключевской наслег,с,село,Теплый Ключ,98650433101,345,2,62.7816666666667,136.809444444444,,,,,,,,,,,,
538,98650433106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Теплоключевской наслег,с,село,Аэропорт,98650433106,96,2,62.7861111111111,136.846944444444,,,,,,,,,,,,
539,98650433111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Теплоключевской наслег,с,село,Развилка,98650433111,13,2,63.0463888888889,138.157777777778,,,,,,,,,,,,
540,98650435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Томпонский национальный (эвенский) наслег,с,село,Тополиное,98650435101,929,2,64.0733333333333,135.963055555556,,,,,,,,,,,,
541,98650440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Ынгинский наслег,с,село,Новый,98650440101,280,2,62.5883333333333,135.527222222222,,,,,,,,,,,,
542,98650440106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Томпонский муниципальный район,98650000,Сельские поселения Томпонского муниципального района,Ынгинский наслег,с,село,Сайды,98650440106,112,2,62.6016666666667,135.468888888889,,,,,,,,,,,,
543,98652405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Батагайский наслег,с,село,Хомустах,98652405101,475,2,62.8761111111111,130.323611111111,,,,,,,,,,,,
544,98652410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Баягантайский наслег,с,село,Танда,98652410101,554,2,62.6469444444444,131.993333333333,,,,,,,,,,,,
545,98652415101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Борогонский наслег,с,село,Тумул,98652415101,602,2,62.55518416,130.28481547,,,,,,,,,,,,
546,98652415106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Борогонский наслег,с,село,Ары-Тит,98652415106,125,2,62.5102777777778,130.045833333333,,,,,,,,,,,,
547,98652415111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Борогонский наслег,с,село,Элясин,98652415111,108,2,62.6225,130.537222222222,,,,,,,,,,,,
548,98652420101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Берт-Усовский наслег,с,село,Сырдах,98652420101,733,2,62.5594444444444,130.889166666667,,,,,,,,,,,,
549,98652420106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Берт-Усовский наслег,с,село,Чиряпчи,98652420106,1,2,62.5041666666667,131.0525,,,,,,,,,,,,
550,98652425101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Бярийинский наслег,с,село,Бярийе,98652425101,242,2,62.8877777777778,131.913611111111,,,,,,,,,,,,
551,98652430101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Дюпсюнский наслег,с,село,Дюпся,98652430101,1031,2,63.0227777777778,130.725833333333,,,,,,,,,,,,
552,98652430106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Дюпсюнский наслег,с,село,Бяди,98652430106,335,2,63.1277777777778,130.719444444444,,,,,,,,,,,,
553,98652430111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Дюпсюнский наслег,с,село,Стойка,98652430111,62,2,62.9797222222222,130.848611111111,,,,,,,,,,,,
554,98652435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Курбусахский наслег,с,село,Ус-Кюёль,98652435101,740,2,62.4347222222222,131.597777777778,,,,,,,,,,,,
555,98652435106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Курбусахский наслег,с,село,Балаганнах,98652435106,50,2,62.3930555555556,131.838333333333,,,,,,,,,,,,
556,98652435111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Курбусахский наслег,с,село,Окоемовка,98652435111,209,2,62.4675,131.341111111111,,,,,,,,,,,,
557,98652440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Легойский наслег,с,село,Кептени,98652440101,1063,2,62.7947222222222,130.752777777778,,,,,,,,,,,,
558,98652440106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Легойский наслег,с,село,Далы,98652440106,49,2,62.7366666666667,130.485833333333,,,,,,,,,,,,
559,98652440111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Легойский наслег,с,село,Хомустах,98652440111,367,2,62.6958383,130.87060991,,,,,,,,,,,,
560,98652445101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Мюрюнский наслег,с,село,Борогонцы,98652445101,6416,2,62.6713888888889,131.173333333333,,,,,,,,,,,,
561,98652445106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Мюрюнский наслег,с,село,Мындаба,98652445106,1031,2,62.6558333333333,131.180833333333,,,,,,,,,,,,
562,98652445111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Мюрюнский наслег,с,село,Томтор,98652445111,0,2,62.6975,131.0975,,,,,,,,,,,,
563,98652450101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Наяхинский наслег,с,село,Балыктах,98652450101,927,2,63.0833333333333,130.4125,,,,,,,,,,,,
564,98652455101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Ольтехский наслег,с,село,Бейдинга,98652455101,631,2,62.3961111111111,130.861388888889,,,,,,,,,,,,
565,98652455106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Ольтехский наслег,с,село,Арылах,98652455106,337,2,62.45,130.94,,,,,,,,,,,,
566,98652460101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Онерский наслег,с,село,Эселях,98652460101,583,2,62.9102777777778,131.0475,,,,,,,,,,,,
567,98652465101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Оспехский наслег,с,село,Дыгдал,98652465101,238,2,63.3044444444444,130.379166666667,,,,,,,,,,,,
568,98652467101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Оспехский 1-й наслег,с,село,Усун-Кюёль,98652467101,570,2,62.87,130.83,,,,,,,,,,,,
569,98652470101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Суоттунский наслег,с,село,Огородтах,98652470101,960,2,62.4530555555556,130.141388888889,,,,,,,,,,,,
570,98652470106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Суоттунский наслег,с,село,Сасылыкан,98652470106,108,2,62.4761111111111,130.646944444444,,,,,,,,,,,,
571,98652470111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Суоттунский наслег,с,село,Хоногор,98652470111,675,2,62.47,130.11,,,,,,,,,,,,
572,98652472101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Байагантайский 2-й наслег,с,село,Тит-Ары,98652472101,282,2,62.7544444444444,131.960277777778,,,,,,,,,,,,
573,98652473101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Легойский 2-й наслег,с,село,Тулуна,98652473101,573,2,62.8080555555556,131.075833333333,,,,,,,,,,,,
574,98652475101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Тюляхский наслег,с,село,Кылайы,98652475101,454,2,63.2283333333333,132.12,,,,,,,,,,,,
575,98652480101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Усть-Алданский муниципальный район,98652000,Сельские поселения Усть-Алданского муниципального района,Хоринский наслег,с,село,Маягас,98652480101,600,2,62.6263888888889,131.148333333333,,,,,,,,,,,,
