№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
41,98604410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Амгинский наслег,с,село,Чычымах,98604410101,666,2,62.1222222222222,134.345,,22256,Усть-Алданский муниципальный район,,,,,,,,,
42,98604415101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Баягинский наслег,с,село,Томтор,98604415101,925,2,62.6552777777778,132.927777777778,,7098,Усть-Майский муниципальный район,,,,,,,,,
43,98604418101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Дайа-Амгинский наслег,с,село,Дайа-Амгата,98604418101,221,2,61.9091666666667,133.611388888889,,6697,Усть-Янский муниципальный район,,,,,,,,,
44,98604420101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Жохсогонский наслег,с,село,Боробул,98604420101,1001,2,62.2797222222222,133.494166666667,,21503,Чурапчинский муниципальный район,,,,,,,,,
45,98604420106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Жохсогонский наслег,с,село,Даккы,98604420106,10,2,62.4755555555556,133.631666666667,,33938,Хангаласский муниципальный район,,,,,,,,,
46,98604425101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Жулейский наслег,с,село,Туора-Кюёль,98604425101,550,2,62.3319444444444,132.942777777778,,2913,Эвено-Бытантайский национальный муниципальный район,,,,,,,,,
47,98604430101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Игидейский наслег,с,село,Дебдирге,98604430101,753,2,62.4108333333333,132.874722222222,,,,,,,,,,,,
48,98604435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Октябрьский наслег,с,село,Черкёх,98604435101,1122,2,62.1847222222222,133.224444444444,,,,,,,,,,,,
49,98604440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Средне-Амгинский наслег,с,село,Харбалах,98604440101,958,2,62.1975,134.249722222222,,,,,,,,,,,,
50,98604445101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Таттинский наслег,с,село,Ытык-Кюёль,98604445101,6933,2,62.3602777777778,133.543611111111,,,,,,,,,,,,
