Район,Наслег,ОКТМО,Бассейн рек,Населенный пункт,Год,Месяц,День,в % от нормы,Unnamed: 9,"Кол-во ошибок ""#н/д""",0
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Колыма,Зырянка,2013,11,20,<70,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,Колыма,Среднеколымск,2013,11,20,70-90,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,Колыма,Черский,2013,11,20,<70,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,Вилюй,Сунтар,2013,11,20,90-110,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,Вилюй,Нюрба,2013,11,20,90-110,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,Вилюй,В.Вилюйск,2013,11,20,>130,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,Вилюй,Вилюйск,2013,11,20,110-130,,,
Городской округ Город Якутск,город Якутск,98701000001,Лена,Якутск,2014,11,20,90-110,,,
Хангаласский муниципальный район,город Покровск,98644101001,Лена,Покровск,2014,11,20,90-110,,,
Намский муниципальный район,Ленский наслег,98635425101,Лена,Намцы,2014,11,20,90-110,,,
Олекминский муниципальный район,город Олекминск,98641101001,Лена,Олекминск,2014,11,20,90-110,,,
Ленский муниципальный район,город Ленск,98627101001,Лена,Ленск,2014,11,20,130,,,
Ленский муниципальный район,поселок Витим,98627153051,Лена,Витим,2014,11,20,70-90,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Лена,Сангар,2014,11,20,70-90,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,Лена,Жиганск,2014,11,20,110-130,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,Алдан,Усть-Мая,2014,11,20,90-110,,,
Алданский муниципальный район,город Алдан,98603101001,Алдан,Алдан,2014,11,20,90-110,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,2014,11,20,>130,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,Яна,Батагай,2014,11,20,90-110,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,Яна,Верхоянск,2014,11,20,70-90,,,
Усть-Янский муниципальный район,Казачинский национальный наслег,98656405101,Яна,Казачье,2014,11,20,,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,Индигирка,Усть-Нера,2014,11,20,>130,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,Индигирка,Оймякон,2014,11,20,>130,,,
Момский муниципальный район,Момский национальный наслег,98633423101,Индигирка,Хонуу,2014,11,20,>130,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,Индигирка,Белая Гора,2014,11,20,>130,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,Индигирка,Чокурдах,2014,11,20,>130,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Колыма,Зырянка,2014,11,20,>130,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,Колыма,Среднеколымск,2014,11,20,>130,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,Колыма,Черский,2014,11,20,,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,Вилюй,Сунтар,2014,11,20,>130,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,Вилюй,Нюрба,2014,11,20,90-110,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,Вилюй,В.Вилюйск,2014,11,20,>130,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,Вилюй,Вилюйск,2014,11,20,>130,,,
Городской округ Город Якутск,город Якутск,98701000001,Лена,Якутск,2002,12,20,<70,,,
Хангаласский муниципальный район,город Покровск,98644101001,Лена,Покровск,2002,12,20,<70,,,
Намский муниципальный район,Ленский наслег,98635425101,Лена,Намцы,2002,12,20,<70,,,
Олекминский муниципальный район,город Олекминск,98641101001,Лена,Олекминск,2002,12,20,<70,,,
Ленский муниципальный район,город Ленск,98627101001,Лена,Ленск,2002,12,20,70-90,,,
Ленский муниципальный район,поселок Витим,98627153051,Лена,Витим,2002,12,20,70-90,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Лена,Сангар,2002,12,20,<70,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,Лена,Жиганск,2002,12,20,90-110,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,Алдан,Усть-Мая,2002,12,20,70-90,,,
Алданский муниципальный район,город Алдан,98603101001,Алдан,Алдан,2002,12,20,>130,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,2002,12,20,<70,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,Яна,Батагай,2002,12,20,70-90,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,Яна,Верхоянск,2002,12,20,70-90,,,
Усть-Янский муниципальный район,поселок Нижнеянск,98656159051,Яна,Нижнеянск,2002,12,20,70-90,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,Индигирка,Усть-Нера,2002,12,20,70-90,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,Индигирка,Оймякон,2002,12,20,<70,,,
Момский муниципальный район,Момский национальный наслег,98633423101,Индигирка,Хонуу,2002,12,20,<70,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,Индигирка,Белая Гора,2002,12,20,70-90,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,Индигирка,Чокурдах,2002,12,20,70-90,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Колыма,Зырянка,2002,12,20,70-90,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,Колыма,Среднеколымск,2002,12,20,70-90,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,Колыма,Черский,2002,12,20,-,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,Вилюй,Сунтар,2002,12,20,<70,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,Вилюй,Нюрба,2002,12,20,<70,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,Вилюй,В.Вилюйск,2002,12,20,<70,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,Вилюй,Вилюйск,2002,12,20,<70,,,
Мирнинский муниципальный район,поселок Чернышевский,98631162051,Вилюй,Чернышевск,2002,12,20,70-90,,,
Городской округ Город Якутск,город Якутск,98701000001,Лена,Якутск,2004,12,20,226,,,
Хангаласский муниципальный район,город Покровск,98644101001,Лена,Покровск,2004,12,20,165,,,
Намский муниципальный район,Ленский наслег,98635425101,Лена,Намцы,2004,12,20,-,,,
Олекминский муниципальный район,город Олекминск,98641101001,Лена,Олекминск,2004,12,20,90,,,
Ленский муниципальный район,город Ленск,98627101001,Лена,Ленск,2004,12,20,105,,,
Ленский муниципальный район,поселок Витим,98627153051,Лена,Витим,2004,12,20,95,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Лена,Сангар,2004,12,20,81,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,Лена,Жиганск,2004,12,20,152,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,Алдан,Усть-Мая,2004,12,20,116,,,
Алданский муниципальный район,город Алдан,98603101001,Алдан,Алдан,2004,12,20,-,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,2004,12,20,164,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,Яна,Батагай,2004,12,20,106,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,Яна,Верхоянск,2004,12,20,74,,,
Усть-Янский муниципальный район,поселок Нижнеянск,98656159051,Яна,Нижнеянск,2004,12,20,-,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,Индигирка,Усть-Нера,2004,12,20,71,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,Индигирка,Оймякон,2004,12,20,-,,,
Момский муниципальный район,Момский национальный наслег,98633423101,Индигирка,Хонуу,2004,12,20,-,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,Индигирка,Белая Гора,2004,12,20,-,,,
