№,Гидрометеорологический пост,Наименование реки,Район,Населенный пункт,ОКТМО,Дата (дд.мм.ггг),в % от нормы,в % от нормы.1
1693,Буяга,р.Амга,Алданский муниципальный район,Верхняя Амга,98603105111,2017-02-28,100,80.0
1694,Тегюльтя,р.Амга,Амгинский муниципальный район,Тегюльтя,98608429111,2017-02-28,100,100.0
1695,Амга,р.Амга,Амгинский муниципальный район,Амга,98608432101,2017-02-28,100,100.0
1696,Нагорный,р.Алдан,Алданский муниципальный район,Ыллымах,98603105106,2017-02-28,70,100.0
1697,Чульман,р.Алдан,Нерюнгринский муниципальный район,Чульман,98660165051,2017-02-28,100,100.0
1698,Канку,р.Алдан,Алданский муниципальный район,Большой Нимныр,98603101111,2017-02-28,100,100.0
1699,Суон-Тит,р.Алдан,Момский муниципальный район,Суон-Тит,98633423106,2017-02-28,80,120.0
1700,Томмот,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2017-02-28,100,165.0
1701,Угино,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2017-02-28,100,120.0
1702,Токо,р.Алдан,Олекминский муниципальный район,Токко,98641420101,2017-02-28,80,100.0
1703,Чюльбю,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2017-02-28,80,120.0
1704,Учур,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2017-02-28,80,165.0
1705,Усть-Миль,р.Алдан,Усть-Майский муниципальный район,Усть-Миль,98654415101,2017-02-28,120,100.0
1706,Усть-Юдома,р.Алдан,Усть-Майский муниципальный район,Усть-Юдома,98654151106,2017-02-28,120,120.0
1707,Югаренок,р.Алдан,Усть-Майский муниципальный район,Югоренок,98654166051,2017-02-28,100,165.0
1708,Усть-Мая,р.Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2017-02-28,100,120.0
1709,Охотский Перевоз,р.Алдан,Томпонский муниципальный район,Охотский-Перевоз,98650425101,2017-02-28,80,80.0
1710,Теплый Ключ,р.Алдан,Томпонский муниципальный район,Теплый Ключ,98650433101,2017-02-28,70,70.0
1711,Крест-Хальджай,р.Алдан,Томпонский муниципальный район,Крест-Хальджай,98650405101,2017-02-28,80,120.0
1712,Томпо,р.Алдан,Томпонский муниципальный район,Тополиное,98650435101,2017-02-28,100,120.0
1713,Чурапча,р.Алдан,Чурапчинский муниципальный район,Чурапча,98658470101,2017-02-28,80,165.0
1714,Верхоянский Перевоз,р.Алдан,Усть-Алданский муниципальный район,Кылайы,98652475101,2017-02-28,120,120.0
1715,Батамай,р.Алдан,Кобяйский муниципальный район,Батамай,98624414106,2017-02-28,80,120.0
1716,Сегян-Кюель,р.Алдан,Кобяйский муниципальный район,Сегян-Кюёль,98624414101,2017-02-28,70,120.0
1717,Лавинда,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2017-02-28,100,100.0
1718,Чона,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2017-02-28,100,100.0
1719,Туой-Хая,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2017-02-28,120,70.0
1720,Чернышевский,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2017-02-28,100,100.0
1721,Хабардино,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2017-02-28,80,120.0
1722,Айхал,р.Вилюй,Мирнинский муниципальный район,Айхал,98631152051,2017-02-28,100,120.0
1723,Шелагонцы,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2017-02-28,100,165.0
1724,Чумпурук,р.Вилюй,Нюрбинский муниципальный район,Малыкай,98626410101,2017-02-28,100,80.0
1725,Крестях,р.Вилюй,Сунтарский муниципальный район,Крестях,98648430101,2017-02-28,100,80.0
1726,Сунтар,р.Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2017-02-28,165,100.0
1727,Нюрба,р.Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2017-02-28,120,100.0
1728,Верхневилюйск,р.Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2017-02-28,100,70.0
1729,Вилюйск,р.Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2017-02-28,100,100.0
1730,Эйк,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2017-02-28,165,70.0
1731,Хатырык-Хомо,р.Вилюй,Кобяйский муниципальный район,Хатырык-Хомо,98624405111,2017-02-28,100,100.0
1732,Джалинда,р.Анабар,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2017-02-28,100,120.0
1733,Саскылах,р.Анабар,Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылах,98610411101,2017-02-28,100,120.0
1734,Ярольин,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2017-02-28,100,100.0
1735,Оленек,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2017-02-28,100,165.0
1736,Сухана,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2017-02-28,120,100.0
1737,Тюмети,р.Оленек,Булунский муниципальный район,Склад,98612445106,2017-02-28,80,100.0
1738,Таймылыр,р.Оленек,Булунский муниципальный район,Таймылыр,98612445101,2017-02-28,,165.0
1739,Иэма,р.Яна,Томпонский муниципальный район,Тополиное,98650435101,2017-02-28,165,200.0
1740,Екючю,р.Яна,Верхоянский муниципальный район,Суордах,98616448101,2017-02-28,165,165.0
1741,Усть-Чаркы,р.Яна,Верхоянский муниципальный район,Усть-Чаркы,98616151111,2017-02-28,165,100.0
1742,Верхоянск,р.Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2017-02-28,165,80.0
1743,Батагай,р.Яна,Верхоянский муниципальный район,Батагай,98616151051,2017-02-28,200,100.0
1744,Батагай-Алыта,р.Яна,Эвено-Бытантайский национальный муниципальный район,Батагай-Алыта,98659420101,2017-02-28,165,100.0
1745,Юбилейная,р.Яна,Усть-Янский муниципальный район,Казачье,98656405101,2017-02-28,165,100.0
1746,Агаякан,р.Индигирка,Оймяконский муниципальный район,Агаякан,98639410106,2017-02-28,100,100.0
1747,Оймякон,р.Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2017-02-28,100,100.0
1748,Делянкир,р.Индигирка,Оймяконский муниципальный район,Делянкир,98639153106,2017-02-28,165,100.0
1749,Юрты,р.Индигирка,Оймяконский муниципальный район,Терют,98639432101,2017-02-28,165,165.0
1750,Усть-Нера,р.Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2017-02-28,80,80.0
1751,Усть-Мома,р.Индигирка,Момский муниципальный район,Хонуу,98633423101,2017-02-28,165,120.0
1752,Депутатский,р.Индигирка,Усть-Янский муниципальный район,Депутатский,98656151051,2017-02-28,165,80.0
1753,Белая Гора,р.Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2017-02-28,200,100.0
1754,Чокурдах,р.Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2017-02-28,200,80.0
1755,Зырянка,р.Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2017-02-28,200,120.0
1756,Среднеколымск,р.Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2017-02-28,200,120.0
1757,Черский,р.Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2017-02-28,200,165.0
1758,Витим,р.Лена,Ленский муниципальный район,Витим,98627153051,2018-02-28,165,165.0
1759,Ленск,р.Лена,Ленский муниципальный район,Ленск,98627101001,2018-02-28,120,165.0
1760,Комака,р.Лена,Ленский муниципальный район,Орто-Нахара,98627433101,2018-02-28,165,200.0
1761,Дорожный,р.Лена,Ленский муниципальный район,Дорожный,98627420106,2018-02-28,165,165.0
1762,Нюя,р.Лена,Ленский муниципальный район,Нюя,98627430101,2018-02-28,200,165.0
1763,Мача,р.Лена,Олекминский муниципальный район,Мача,98641440101,2018-02-28,165,120.0
1764,Килеер,р.Лена,Олекминский муниципальный район,Килиер,98641434106,2018-02-28,165,120.0
1765,Олекминск,р.Лена,Олекминский муниципальный район,Олёкминск,98641101001,2018-02-28,120,165.0
1766,Тяня,р.Лена,Олекминский муниципальный район,Тяня,98641475101,2018-02-28,165,80.0
1767,Джикимда,р.Лена,Горный муниципальный район,Дикимдя,98620440101,2018-02-28,165,165.0
1768,Саныяхтат,р.Лена,Олекминский муниципальный район,Саныяхтах,98641460101,2018-02-28,120,120.0
1769,Исить,р.Лена,Хангаласский муниципальный район,Исит,98644412101,2018-02-28,120,165.0
1770,Тонгулах,р.Лена,Горный муниципальный район,Тонгулах,98620433106,2018-02-28,120,100.0
1771,Покровск,р.Лена,Хангаласский муниципальный район,Покровск,98644101001,2018-02-28,70,120.0
1772,Якутск,р.Лена,Городской округ Город Якутск,Якутск,98701000001,2018-02-28,100,100.0
1773,Намцы,р.Лена,Намский муниципальный район,Намцы,98635425101,2018-02-28,70,80.0
1774,Бердигестях,р.Лена,Горный муниципальный район,Бердигестях,98620410101,2018-02-28,100,80.0
1775,Сангары,р.Лена,Кобяйский муниципальный район,Сангар,98624151051,2018-02-28,80,80.0
1776,Жиганск,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2018-02-28,100,100.0
1777,Бестяхская з/ф,р.Лена,Жиганский национальный эвенкийский муниципальный район,Бестях,98622405101,2018-02-28,80,100.0
1778,Джарджан,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2018-02-28,80,120.0
1779,Кюсюр,р.Лена,Булунский муниципальный район,Кюсюр,98612412101,2018-02-28,80,100.0
1780,Буяга,р.Амга,Алданский муниципальный район,Верхняя Амга,98603105111,2018-02-28,100,100.0
1781,Тегюльтя,р.Амга,Амгинский муниципальный район,Тегюльтя,98608429111,2018-02-28,120,100.0
1782,Амга,р.Амга,Амгинский муниципальный район,Амга,98608432101,2018-02-28,100,100.0
1783,Нагорный,р.Алдан,Алданский муниципальный район,Ыллымах,98603105106,2018-02-28,70,100.0
1784,Чульман,р.Алдан,Нерюнгринский муниципальный район,Чульман,98660165051,2018-02-28,120,80.0
1785,Канку,р.Алдан,Алданский муниципальный район,Большой Нимныр,98603101111,2018-02-28,165,80.0
1786,Суон-Тит,р.Алдан,Момский муниципальный район,Суон-Тит,98633423106,2018-02-28,165,100.0
1787,Томмот,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2018-02-28,165,100.0
1788,Угино,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2018-02-28,100,80.0
1789,Токо,р.Алдан,Олекминский муниципальный район,Токко,98641420101,2018-02-28,100,100.0
1790,Чюльбю,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2018-02-28,80,100.0
1791,Учур,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2018-02-28,100,80.0
1792,Усть-Миль,р.Алдан,Усть-Майский муниципальный район,Усть-Миль,98654415101,2018-02-28,80,80.0
1793,Усть-Юдома,р.Алдан,Усть-Майский муниципальный район,Усть-Юдома,98654151106,2018-02-28,80,100.0
1794,Югаренок,р.Алдан,Усть-Майский муниципальный район,Югоренок,98654166051,2018-02-28,80,120.0
1795,Усть-Мая,р.Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2018-02-28,80,100.0
1796,Охотский Перевоз,р.Алдан,Томпонский муниципальный район,Охотский-Перевоз,98650425101,2018-02-28,80,100.0
1797,Теплый Ключ,р.Алдан,Томпонский муниципальный район,Теплый Ключ,98650433101,2018-02-28,70,165.0
1798,Крест-Хальджай,р.Алдан,Томпонский муниципальный район,Крест-Хальджай,98650405101,2018-02-28,80,120.0
1799,Томпо,р.Алдан,Томпонский муниципальный район,Тополиное,98650435101,2018-02-28,70,100.0
1800,Чурапча,р.Алдан,Чурапчинский муниципальный район,Чурапча,98658470101,2018-02-28,80,165.0
1801,Верхоянский Перевоз,р.Алдан,Усть-Алданский муниципальный район,Кылайы,98652475101,2018-02-28,165,165.0
1802,Батамай,р.Алдан,Кобяйский муниципальный район,Батамай,98624414106,2018-02-28,80,165.0
1803,Сегян-Кюель,р.Алдан,Кобяйский муниципальный район,Сегян-Кюёль,98624414101,2018-02-28,70,165.0
1804,Лавинда,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2018-02-28,120,120.0
1805,Чона,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2018-02-28,100,165.0
1806,Туой-Хая,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2018-02-28,120,80.0
1807,Чернышевский,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2018-02-28,120,120.0
1808,Хабардино,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-02-28,120,120.0
1809,Айхал,р.Вилюй,Мирнинский муниципальный район,Айхал,98631152051,2018-02-28,120,165.0
1810,Шелагонцы,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2018-02-28,120,70.0
1811,Чумпурук,р.Вилюй,Нюрбинский муниципальный район,Малыкай,98626410101,2018-02-28,165,70.0
1812,Крестях,р.Вилюй,Сунтарский муниципальный район,Крестях,98648430101,2018-02-28,165,80.0
1813,Сунтар,р.Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2018-02-28,165,70.0
1814,Нюрба,р.Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2018-02-28,165,70.0
1815,Верхневилюйск,р.Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2018-02-28,120,100.0
1816,Вилюйск,р.Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2018-02-28,120,80.0
1817,Эйк,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2018-02-28,165,80.0
1818,Хатырык-Хомо,р.Вилюй,Кобяйский муниципальный район,Хатырык-Хомо,98624405111,2018-02-28,100,200.0
1819,Джалинда,р.Анабар,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-02-28,80,165.0
1820,Саскылах,р.Анабар,Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылах,98610411101,2018-02-28,80,165.0
1821,Ярольин,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-02-28,165,165.0
1822,Оленек,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-02-28,100,120.0
1823,Сухана,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-02-28,120,100.0
1824,Тюмети,р.Оленек,Булунский муниципальный район,Склад,98612445106,2018-02-28,100,100.0
1825,Таймылыр,р.Оленек,Булунский муниципальный район,Таймылыр,98612445101,2018-02-28,100,120.0
1826,Иэма,р.Яна,Томпонский муниципальный район,Тополиное,98650435101,2018-02-28,100,200.0
1827,Екючю,р.Яна,Верхоянский муниципальный район,Суордах,98616448101,2018-02-28,165,165.0
1828,Усть-Чаркы,р.Яна,Верхоянский муниципальный район,Усть-Чаркы,98616151111,2018-02-28,165,120.0
1829,Верхоянск,р.Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2018-02-28,120,80.0
1830,Батагай,р.Яна,Верхоянский муниципальный район,Батагай,98616151051,2018-02-28,120,70.0
1831,Батагай-Алыта,р.Яна,Эвено-Бытантайский национальный муниципальный район,Батагай-Алыта,98659420101,2018-02-28,100,100.0
1832,Юбилейная,р.Яна,Усть-Янский муниципальный район,Казачье,98656405101,2018-02-28,200,80.0
1833,Агаякан,р.Индигирка,Оймяконский муниципальный район,Агаякан,98639410106,2018-02-28,120,70.0
1834,Оймякон,р.Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2018-02-28,100,100.0
1835,Делянкир,р.Индигирка,Оймяконский муниципальный район,Делянкир,98639153106,2018-02-28,165,70.0
1836,Юрты,р.Индигирка,Оймяконский муниципальный район,Терют,98639432101,2018-02-28,100,100.0
1837,Усть-Нера,р.Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2018-02-28,165,100.0
1838,Усть-Мома,р.Индигирка,Момский муниципальный район,Хонуу,98633423101,2018-02-28,165,100.0
1839,Депутатский,р.Индигирка,Усть-Янский муниципальный район,Депутатский,98656151051,2018-02-28,120,120.0
1840,Белая Гора,р.Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2018-02-28,165,165.0
1841,Чокурдах,р.Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2018-02-28,200,120.0
1842,Зырянка,р.Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2018-02-28,165,165.0
1843,Среднеколымск,р.Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2018-02-28,200,100.0
1844,Черский,р.Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2018-02-28,200,70.0
1845,Витим,р.Лена,Ленский муниципальный район,Витим,98627153051,2019-02-28,120,100.0
1846,Ленск,р.Лена,Ленский муниципальный район,Ленск,98627101001,2019-02-28,120,80.0
1847,Комака,р.Лена,Ленский муниципальный район,Орто-Нахара,98627433101,2019-02-28,100,165.0
1848,Дорожный,р.Лена,Ленский муниципальный район,Дорожный,98627420106,2019-02-28,120,100.0
1849,Нюя,р.Лена,Ленский муниципальный район,Нюя,98627430101,2019-02-28,200,100.0
1850,Мача,р.Лена,Олекминский муниципальный район,Мача,98641440101,2019-02-28,120,100.0
1851,Килеер,р.Лена,Олекминский муниципальный район,Килиер,98641434106,2019-02-28,100,100.0
1852,Олекминск,р.Лена,Олекминский муниципальный район,Олёкминск,98641101001,2019-02-28,80,70.0
1853,Тяня,р.Лена,Олекминский муниципальный район,Тяня,98641475101,2019-02-28,100,70.0
1854,Джикимда,р.Лена,Горный муниципальный район,Дикимдя,98620440101,2019-02-28,120,70.0
1855,Саныяхтат,р.Лена,Олекминский муниципальный район,Саныяхтах,98641460101,2019-02-28,120,70.0
1856,Исить,р.Лена,Хангаласский муниципальный район,Исит,98644412101,2019-02-28,120,80.0
1857,Тонгулах,р.Лена,Горный муниципальный район,Тонгулах,98620433106,2019-02-28,120,70.0
1858,Покровск,р.Лена,Хангаласский муниципальный район,Покровск,98644101001,2019-02-28,100,100.0
1859,Якутск,р.Лена,Городской округ Город Якутск,Якутск,98701000001,2019-02-28,165,100.0
1860,Намцы,р.Лена,Намский муниципальный район,Намцы,98635425101,2019-02-28,80,100.0
1861,Бердигестях,р.Лена,Горный муниципальный район,Бердигестях,98620410101,2019-02-28,120,165.0
1862,Сангары,р.Лена,Кобяйский муниципальный район,Сангар,98624151051,2019-02-28,80,165.0
1863,Жиганск,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2019-02-28,100,100.0
1864,Бестяхская з/ф,р.Лена,Жиганский национальный эвенкийский муниципальный район,Бестях,98622405101,2019-02-28,100,120.0
1865,Джарджан,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2019-02-28,100,165.0
1866,Кюсюр,р.Лена,Булунский муниципальный район,Кюсюр,98612412101,2019-02-28,100,165.0
1867,Буяга,р.Амга,Алданский муниципальный район,Верхняя Амга,98603105111,2019-02-28,100,200.0
1868,Тегюльтя,р.Амга,Амгинский муниципальный район,Тегюльтя,98608429111,2019-02-28,165,100.0
1869,Амга,р.Амга,Амгинский муниципальный район,Амга,98608432101,2019-02-28,120,100.0
1870,Нагорный,р.Алдан,Алданский муниципальный район,Ыллымах,98603105106,2019-02-28,100,100.0
1871,Чульман,р.Алдан,Нерюнгринский муниципальный район,Чульман,98660165051,2019-02-28,165,80.0
1872,Канку,р.Алдан,Алданский муниципальный район,Большой Нимныр,98603101111,2019-02-28,165,80.0
1873,Суон-Тит,р.Алдан,Момский муниципальный район,Суон-Тит,98633423106,2019-02-28,165,100.0
1874,Томмот,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2019-02-28,165,120.0
1875,Угино,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2019-02-28,165,100.0
1876,Токо,р.Алдан,Олекминский муниципальный район,Токко,98641420101,2019-02-28,165,100.0
1877,Чюльбю,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2019-02-28,100,100.0
1878,Учур,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2019-02-28,120,165.0
1879,Усть-Миль,р.Алдан,Усть-Майский муниципальный район,Усть-Миль,98654415101,2019-02-28,120,100.0
1880,Усть-Юдома,р.Алдан,Усть-Майский муниципальный район,Усть-Юдома,98654151106,2019-02-28,100,80.0
1881,Югаренок,р.Алдан,Усть-Майский муниципальный район,Югоренок,98654166051,2019-02-28,100,100.0
1882,Усть-Мая,р.Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2019-02-28,100,120.0
1883,Охотский Перевоз,р.Алдан,Томпонский муниципальный район,Охотский-Перевоз,98650425101,2019-02-28,80,80.0
1884,Теплый Ключ,р.Алдан,Томпонский муниципальный район,Теплый Ключ,98650433101,2019-02-28,80,70.0
1885,Крест-Хальджай,р.Алдан,Томпонский муниципальный район,Крест-Хальджай,98650405101,2019-02-28,80,80.0
1886,Томпо,р.Алдан,Томпонский муниципальный район,Тополиное,98650435101,2019-02-28,120,120.0
1887,Чурапча,р.Алдан,Чурапчинский муниципальный район,Чурапча,98658470101,2019-02-28,100,120.0
1888,Верхоянский Перевоз,р.Алдан,Усть-Алданский муниципальный район,Кылайы,98652475101,2019-02-28,120,120.0
1889,Батамай,р.Алдан,Кобяйский муниципальный район,Батамай,98624414106,2019-02-28,100,100.0
1890,Сегян-Кюель,р.Алдан,Кобяйский муниципальный район,Сегян-Кюёль,98624414101,2019-02-28,80,100.0
1891,Лавинда,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2019-02-28,100,120.0
1892,Чона,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2019-02-28,100,120.0
1893,Туой-Хая,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2019-02-28,100,80.0
1894,Чернышевский,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2019-02-28,80,120.0
1895,Хабардино,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2019-02-28,100,120.0
1896,Айхал,р.Вилюй,Мирнинский муниципальный район,Айхал,98631152051,2019-02-28,80,80.0
1897,Шелагонцы,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2019-02-28,80,100.0
1898,Чумпурук,р.Вилюй,Нюрбинский муниципальный район,Малыкай,98626410101,2019-02-28,80,100.0
1899,Крестях,р.Вилюй,Сунтарский муниципальный район,Крестях,98648430101,2019-02-28,100,120.0
1900,Сунтар,р.Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2019-02-28,100,100.0
1901,Нюрба,р.Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2019-02-28,100,100.0
1902,Верхневилюйск,р.Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2019-02-28,70,80.0
1903,Вилюйск,р.Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2019-02-28,80,100.0
1904,Эйк,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2019-02-28,100,70.0
1905,Хатырык-Хомо,р.Вилюй,Кобяйский муниципальный район,Хатырык-Хомо,98624405111,2019-02-28,100,80.0
1906,Джалинда,р.Анабар,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2019-02-28,70,100.0
1907,Саскылах,р.Анабар,Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылах,98610411101,2019-02-28,80,100.0
1908,Ярольин,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2019-02-28,80,80.0
1909,Оленек,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2019-02-28,80,70.0
1910,Сухана,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2019-02-28,80,70.0
1911,Тюмети,р.Оленек,Булунский муниципальный район,Склад,98612445106,2019-02-28,120,70.0
1912,Таймылыр,р.Оленек,Булунский муниципальный район,Таймылыр,98612445101,2019-02-28,,200.0
1913,Иэма,р.Яна,Томпонский муниципальный район,Тополиное,98650435101,2019-02-28,100,200.0
1914,Екючю,р.Яна,Верхоянский муниципальный район,Суордах,98616448101,2019-02-28,70,70.0
1915,Усть-Чаркы,р.Яна,Верхоянский муниципальный район,Усть-Чаркы,98616151111,2019-02-28,100,100.0
1916,Верхоянск,р.Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2019-02-28,70,70.0
1917,Батагай,р.Яна,Верхоянский муниципальный район,Батагай,98616151051,2019-02-28,70,70.0
1918,Батагай-Алыта,р.Яна,Эвено-Бытантайский национальный муниципальный район,Батагай-Алыта,98659420101,2019-02-28,80,80.0
1919,Юбилейная,р.Яна,Усть-Янский муниципальный район,Казачье,98656405101,2019-02-28,80,80.0
1920,Агаякан,р.Индигирка,Оймяконский муниципальный район,Агаякан,98639410106,2019-02-28,165,165.0
1921,Оймякон,р.Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2019-02-28,80,80.0
1922,Делянкир,р.Индигирка,Оймяконский муниципальный район,Делянкир,98639153106,2019-02-28,100,100.0
1923,Юрты,р.Индигирка,Оймяконский муниципальный район,Терют,98639432101,2019-02-28,120,120.0
1924,Усть-Нера,р.Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2019-02-28,80,80.0
1925,Усть-Мома,р.Индигирка,Момский муниципальный район,Хонуу,98633423101,2019-02-28,80,80.0
1926,Депутатский,р.Индигирка,Усть-Янский муниципальный район,Депутатский,98656151051,2019-02-28,70,70.0
1927,Белая Гора,р.Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2019-02-28,70,70.0
1928,Чокурдах,р.Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2019-02-28,80,80.0
1929,Зырянка,р.Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2019-02-28,100,100.0
1930,Среднеколымск,р.Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2019-02-28,70,70.0
1931,Черский,р.Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2019-02-28,80,80.0
1932,Витим,р.Лена,Ленский муниципальный район,Витим,98627153051,2020-02-28,120,120.0
1933,Ленск,р.Лена,Ленский муниципальный район,Ленск,98627101001,2020-02-28,100,100.0
1934,Комака,р.Лена,Ленский муниципальный район,Орто-Нахара,98627433101,2020-02-28,100,100.0
1935,Дорожный,р.Лена,Ленский муниципальный район,Дорожный,98627420106,2020-02-28,120,120.0
1936,Нюя,р.Лена,Ленский муниципальный район,Нюя,98627430101,2020-02-28,200,200.0
1937,Мача,р.Лена,Олекминский муниципальный район,Мача,98641440101,2020-02-28,165,165.0
1938,Килеер,р.Лена,Олекминский муниципальный район,Килиер,98641434106,2020-02-28,165,165.0
1939,Олекминск,р.Лена,Олекминский муниципальный район,Олёкминск,98641101001,2020-02-28,120,120.0
1940,Тяня,р.Лена,Олекминский муниципальный район,Тяня,98641475101,2020-02-28,165,165.0
1941,Джикимда,р.Лена,Горный муниципальный район,Дикимдя,98620440101,2020-02-28,165,165.0
1942,Саныяхтат,р.Лена,Олекминский муниципальный район,Саныяхтах,98641460101,2020-02-28,165,165.0
1943,Исить,р.Лена,Хангаласский муниципальный район,Исит,98644412101,2020-02-28,165,165.0
1944,Тонгулах,р.Лена,Горный муниципальный район,Тонгулах,98620433106,2020-02-28,120,120.0
1945,Покровск,р.Лена,Хангаласский муниципальный район,Покровск,98644101001,2020-02-28,100,100.0
1946,Якутск,р.Лена,Городской округ Город Якутск,Якутск,98701000001,2020-02-28,165,165.0
1947,Намцы,р.Лена,Намский муниципальный район,Намцы,98635425101,2020-02-28,100,100.0
1948,Бердигестях,р.Лена,Горный муниципальный район,Бердигестях,98620410101,2020-02-28,120,120.0
