oktmo,region,municipality,settlement,type,Геоточка,latitude_dms,longitude_dms,latitude_dd,longitude_dd
98610411101,Республика Саха (Якутия),Анабарский национальный,Саскылах,с,"[71.9652777777778,114.092222222222]",71.57.55,114.05.32,71.9652777777778,114.092222222222
98610411106,Республика Саха (Якутия),Анабарский национальный,Эбелях,с,"[70.8902777777778,113.506944444444]",70.53.25,113.30.25,70.8902777777778,113.506944444444
98610424101,Республика Саха (Якутия),Анабарский национальный,Юрюнг-Хая,с,"[72.8119444444444,113.232222222222]",72.48.43,113.13.56,72.8119444444444,113.232222222222
98612413101,Республика Саха (Якутия),Булунский,Быковский,с,"[72.0044444444444,129.109444444444]",72.00.16,129.06.34,72.0044444444444,129.109444444444
98612412101,Республика Саха (Якутия),Булунский,Кюсюр,с,"[70.6861111111111,127.361666666667]",70.41.10,127.21.42,70.6861111111111,127.361666666667
98612456101,Республика Саха (Якутия),Булунский,Найба,с,"[70.8494444444444,130.755]",70.50.58,130.45.18,70.8494444444444,130.755
98612407101,Республика Саха (Якутия),Булунский,Намы,с,"[69.5205555555556,132.228888888889]",69.31.14,132.13.44,69.5205555555556,132.228888888889
98612427101,Республика Саха (Якутия),Булунский,Сиктях,с,"[69.9116666666667,125.105]",69.54.42,125.06.18,69.9116666666667,125.105
98612445106,Республика Саха (Якутия),Булунский,Склад,с,"[71.9091666666667,123.5725]",71.54.33,123.34.21,71.9091666666667,123.5725
98612445101,Республика Саха (Якутия),Булунский,Таймылыр,с,"[72.6119444444444,121.911944444444]",72.36.43,121.54.43,72.6119444444444,121.911944444444
98612151051,Республика Саха (Якутия),Булунский,Тикси,п,"[71.6336111111111,128.865833333333]",71.38.01,128.51.57,71.6336111111111,128.865833333333
98612445111,Республика Саха (Якутия),Булунский,Усть-Оленек,с,"[72.9861111111111,119.818611111111]",72.59.10,119.49.07,72.9861111111111,119.818611111111
98612412106,Республика Саха (Якутия),Булунский,Чекуровка,с,"[71.0458333333333,127.523888888889]",71.02.45,127.31.26,71.0458333333333,127.523888888889
98614423101,Республика Саха (Якутия),Верхневилюйский,Андреевский,с,"[63.4363888888889,120.305]",63.26.11,120.18.18,63.4363888888889,120.305
98614467101,Республика Саха (Якутия),Верхневилюйский,Багадя,с,"[64.3308333333333,119.725833333333]",64.19.51,119.43.33,64.3308333333333,119.725833333333
98614402101,Республика Саха (Якутия),Верхневилюйский,Балаганнах,с,"[63.5308333333333,120.571944444444]",63.31.51,120.34.19,63.5308333333333,120.571944444444
98614405101,Республика Саха (Якутия),Верхневилюйский,Ботулу,с,"[64.1377777777778,119.768888888889]",64.08.16,119.46.08,64.1377777777778,119.768888888889
98614407101,Республика Саха (Якутия),Верхневилюйский,Быракан,с,"[63.0158333333333,121.230555555556]",63.00.57,121.13.50,63.0158333333333,121.230555555556
98614422106,Республика Саха (Якутия),Верхневилюйский,Быччагдан,с,"[63.9108333333333,120.062777777778]",63.54.39,120.03.46,63.9108333333333,120.062777777778
98614417106,Республика Саха (Якутия),Верхневилюйский,Бютейдях,с,"[63.7980555555556,120.495]",63.47.53,120.29.42,63.7980555555556,120.495
98614412101,Республика Саха (Якутия),Верхневилюйский,Верхневилюйск,с,"[63.4447222222222,120.319722222222]",63.26.41,120.19.11,63.4447222222222,120.319722222222
