№ п/п,"ЧС по характеру и виду источника возникновения, в соответствии с перечнем","Дата, субъект РФ, место, краткое описание чрезвычайной ситуации, причина возникновения ЧС",Уровень ЧС,Количество погибших,Количество пострадавших,Количество пострадавших (в том числе - детей),Количество спасенных,дата введения,район,Год,Тип ЧС
267,лесные пожары,"Указом Врио Главы РС (Я) Борисова Е.А. «О введении режима чрезвычайной ситуации в лесах Региональныйионального характера на территории Республики Саха (Якутия)» от 15 июля 2014 года №2781, в связи с превышением показателей, определенных Постановлением Правительства Российской Федерации от 17 мая 2011 г., введен режим ЧС в лесах Региональныйионального характера на территории Республики Саха (Якутия).",Региональный,,,,,2004-07-15,Республики Саха (Якутия),2004,Природные пожары
268,лесные пожары,"Вилюйский район
11.07.2014 Распоряжением №503 главы района объявлен режим ЧС в лесах муниципального характера для органов управления сил и средств звена территориальной подсистемы РСЧС Вилюйского района.
",Муниципальный,,,,,2014-07-11,Вилюйский муниципальный район,2014,Природные пожары
269,лесные пожары,15.06.2014 Распоряжением №990 главы МР Нюрбинского района введен режим ЧС на территории Нюрбинского района.,Региональный,,,,,2014-06-15,Нюрбинский муниципальный район,2014,Природные пожары
270,лесные пожары,14.07.2017 Распоряжением №425 И.о. главы МР «Сунтарский улус» введен режим ЧС на территории Сунтарского района.,Муниципальный,,,,,2014-07-14,Сунтарский муниципальный район,2014,Природные пожары
271,паводок,"Таттинский район: В соответствии с распоряжением ВрИО главы Республики Саха (Якутия) от 11.07.2014 года № 2772, в связи с разрывом плотины водохранилища «Сирэ-Холлогос» и угрозой подтопления населенных пунктов Таттинского и Чурапчинского районов, силы и средства Таттинского звеньев ЯТП РСЧС приведены в режим функционирования «Чрезвычайная ситуация».",Региональный,,,,,2014-07-11,Таттинский муниципальный район,2014,Летне-осенний паводок
272,паводок,"Чурапчинский район. Распоряжением главы МО «Чурапчинский улус (район)» Ноговицыным А.Т. от 11.07.2014г. №1152 введен режим «Чрезвычайная ситуация» на территории МО «Чурапчинский улус (район)» в связи с разрывом плотины водохранилища «Сирэ-Холлогос» и угрозой подтопления населенных пунктов Чакыр, Дирин, Ожулун, Чурапча, Харбала 1, Харбала 2 и резким повышением уровня воды.",Региональный,,,,,2014-07-11,Чурапчинский муниципальный район,2014,"Разрушения дорожного полотна,  моста"
273,паводок,"Оймяконский район: В связи с размывом автомобильных дорог республиканского значения, дорог между н.п. Оймякон - Томтор - Сордоннох. Распоряжением главы МО «Оймяконский улус (район)» от 30.07.2014 №464 Захаровым М.М. введен режим ""Чрезвычайной ситуации"" муниципального характера на территории Оймяконского района, для органов управления и сил Оймяконского звена ЯТП РСЧС.",Муниципальный,,,,,2014-07-30,Оймяконский муниципальный район,2014,"Разрушения дорожного полотна,  моста"
274,,"В соответствии с ФЗ от 21.12.94. №68-ФЗ ""О защите населения и территорий от ЧС природного и техногенного характера"", в связи с несанкционированным перекрытием автодороги ОАО ""Сургутнефтегаз"" Витим-Талакан. Ввести режим Локальный ЧС с 10:00 21.03.15.",Локальный,,,,,2015-03-21,Ленский муниципальный район,2015,"Разрушения дорожного полотна,  моста"
275,,"В 16:00 (хбр) 03.07.2015 в ОДС ФКУ ЦУКС ГУ МЧС России по РС(Я) от диспетчера ВГСЧ постурила информация о том, что в 15:20 в Нерюнгринском районе произошло ДТП при движении из н.п. Улак Амурской обл. в Эльгинский угольный комплекс на территории Нерюнгринского района произошло опрокидывание в кювет с высоты 8-10 м автомобиля УРАЛ-вахтовка на 195 км автодороги Улак-Эльгинский угольный комплекс. В машине находилось 23 человека",Локальный,4,19,,,2015-07-03,Нерюнгринский муниципальный район,2015,Летне-осенний паводок
276,лесные пожары,"В соответствии с ФЗ от 21.12.94. №68-ФЗ ""О защите населения и территоий от ЧС природного и техногенного характера"", рекомендаций Депарамента по лесным отношениям РС(Я) от 06.07.15 №03-26/372, а также складывающейся ситуацией с природными пожарами на территории Мирнинского района ввести режим ЧС с 07.07.15.",Муниципальный,,,,,2015-07-07,Мирнинский муниципальный район,2015,Природные пожары
277,лесные пожары,"Постановлением главы МО «Алданский район» №387п от 10.07.2015г. Позднякова С.Н., учитывая резко обострившуюся лесопожарную обстановку, в целях ликвидации чрезвычайной ситуации, связанной с лесными пожарами, с 10 июля 2015г. введен режим «Чрезвычайная ситуация». Постановлением и.о. главы МО «Алданский район» Халиуллина Р.Г. от 21.08.2015г. №430п, в связи со стабилизацией обстановки, и ликвидацией лесных пожаров на территории МО «Алданский район», режим «Чрезвычайная ситуация» снят.",Муниципальный,,,,,2015-07-10,Алданский муниципальный район,2015,Природные пожары
