№ п/п,"ЧС по характеру и виду источника возникновения, в соответствии с перечнем","Дата, субъект РФ, место, краткое описание чрезвычайной ситуации, причина возникновения ЧС",Уровень ЧС,Количество погибших,Количество пострадавших,Количество пострадавших (в том числе - детей),Количество спасенных,дата введения,район,Год,Тип ЧС
556,Лесные пожары,"На территории СП «Кюкяйского наслега», Ю.С.Прокопьева с 05.06.2021г. №42 Распоряжением Главы администрации введен режим ЧС (в связи с переходом лесным пожаром №7).",Муниципальный,,,,,2021-06-05,Сунтарский муниципальный район,2021,Природные пожары
557,Лесные пожары,"На территории МР ""Верхневилюйского района"", С.Михалева с 05.06.2021г. №563-р Распоряжением Первого заместителя главы администрации МР введен режим ЧС (в связи с увеличением лесных пожаров и установлением сухой,ветряной погоды).Распоряжением первого заместиля главы администрации С.Михалева от 10.06.2021 г. №571-р, в связи со стабилизацией лесопожарной обстановки,снижением класса пожарной опасности, снят режим «Чрезвычайная ситуация» с 10.06.2021 г на территории  МР ""Верхневилюйского района"", о признании утратившим силу распоряжение администрации с 11.06.2021 №57.",Муниципальный,,,,,2021-06-05,Верхневилюйский муниципальный район,2021,Природные пожары
558,Лесные пожары,"На территории МР ""Томпонский район"", Я.И.Степанова с 06.06.2021г. №607 Постановлением Главы  МР введен режим ЧС (в связи с действующим пожаром15-АЗК).",Муниципальный,,,,,2021-06-06,Томпонский муниципальный район,2021,Природные пожары
559,Лесные пожары,"Распоряжением Главы О.В. Иринеева от 09.06.2021 г. №919-р, введен режим чрезвычайной ситуации в лесах муниципального характера, возникшей вследствие лесных пожаров на территории Хангаласского улуса. ",Муниципальный,,,,,2021-06-09,Хангаласский муниципальный район,2021,Природные пожары
560,Лесные пожары,"На территории МР""Сунтарский район"", А.В.Григорьева с 18.06.2021г. №Б-365 Распоряжением Главы  введен режим ЧС (в связи с действием трех не локализованных лесных пожаров ).",Муниципальный,,,,,2021-06-18,Сунтарский муниципальный район,2021,Природные пожары
561,Лесные пожары,"На территории ""Индигирского национального наслега"" , Б.И.Заровняева с 20.06.2021г. №32 Распоряжением Главы МО ИНН  введен режим ЧС (в связи со сложной оперативной обстановкой с лесным пожаром на расстоянии от 3 км. ).Распоряжением Главы МО ""Инн""  Б.И.Заровняева от 28.06.2021 г. №36, в связи с ликвидацией лесного пожара К-1073 возникший 20.06.2021, снят режим «Чрезвычайная ситуация» с 28.06.2021 г на территории  ""Индигирского национального наслега"".",Муниципальный,,,,,2021-06-20,Момский муниципальный район,2021,Природные пожары
562,Лесные пожары,"На территории МО""Оймяконский район"", И.С.Сивцева с 21.06.2021г. №86 Распоряжением Главы  МО введен режим ЧС (в связи с природным пожаром).",Муниципальный,,,,,2021-06-21,Оймяконский муниципальный район,2021,Природные пожары
563,Лесные пожары,"На территории Республики Саха (Якутия), А.Николаева с 23.06.2021г. №1912 Указом Главы  РС(Я) введен режим ЧС (в связи с лесным пожаром).",Региональный,,,,,2021-06-23,Республики Саха (Якутия),2021,Природные пожары
564,Лесные пожары,"На территории МР «Хангаласский улус», О.В. Иринеева с 24.06.2021г. №991-р Распоряжением Главы района введен режим ЧС (в связи с V классом пожарной опасности).",Муниципальный,,,,,2021-06-24,Хангаласский муниципальный район,2021,Природные пожары
565,Лесные пожары,"На территории МО""Поселок Усть-Нера"", А.Е..Роданича с 24.06.2021г. №238 Распоряжением Главы введен режим ЧС (в связи с лесными пожарами).",Муниципальный,,,,,2021-06-24,Оймяконский муниципальный район,2021,Природные пожары
566,Лесные пожары,Решением КЧС и ОПБ и.о. Главы Вилюйского района от 24.06.2021 г. № 14-29 введен режим «Чрезвычайная ситуация» на территории Вилюйского района.,Муниципальный,,,,,2021-06-24,Вилюйский муниципальный район,2021,Природные пожары
567,Лесные пожары,"На территории МР""Усть-Майский район"", М.А.Дьячковского с 25.06.2021г. №243-р Распоряжением И.о. Главы района введен режим ЧС (в связи с лесными пожарами).",Муниципальный,,,,,2021-06-25,Усть-Майский муниципальный район,2021,Природные пожары
568,Лесные пожары,"На территории МР ""Горный район"", Н.В.Андреева с 26.06.2021г. №812/01-02-р Распоряжением Главы района введен режим ЧС (в связи с увеличением количества и площади лесных пожаров).",Муниципальный,,,,,2021-06-26,Горный муниципальный район,2021,Природные пожары
569,Лесные пожары,"На территории МО ""Мирнинский район"",с 28.06.2021г. №100-р Распоряжением Главы района введен режим ЧС (в связи с увеличением количества и площади лесных пожаров).",Муниципальный,,,,,2021-06-26,Мирнинский муниципальный район,2021,Природные пожары
570,Лесные пожары,"На территории МО""Кобяйский район"", А.С.Сивцева с 28.06.2021г. №870-р Распоряжением Первого заместителя Главы района введен режим ЧС (в связи с установлением IV высокого класса пожарной опасности в лесах и ростом количества лесных пожаров).",Муниципальный,,,,,2021-06-28,Кобяйский муниципальный район,2021,Природные пожары
571,Лесные пожары,"На территории МО ""Поселок Сангар"" Кобяйского района, Н.П. Попов с 27.07.2021 г. №294-р Распоряжением  Главы введен режим ЧС.",Муниципальный,,,,,2021-07-27,Кобяйский муниципальный район,2021,Природные пожары
572,гидрология,"На территории МО ""Индигирский национальный наслег"", Б.И. Заровняева 28.07.2021г. №47, Распоряжением Главы  наслега введен режим  ЧС (в связи с резким повышением уровня воды на р. Индигирка)",Муниципальный,,,,,2021-07-28,Момский муниципальный район,2021,Летне-осенний паводок
573,атмосферная засуха,"На территории Республики Саха (Якутия), А.Николаева с 29.07.2021г. №1996 Указом Главы  РС(Я) введен режим ЧС, возникшей вследствие неблагоприятных условий для произрастания естественных трав и атмосферной засухи, в Мегино-Кангаласском, Нюрбинском, Сунтарском, Намском, Усть-Алданском, Хангаласском, Томпонском, Олекминском, Оймяконском, Чурапчинском районах и городском округе «город Якутск» Республики Саха (Якутия).",Региональный,,,,,2021-07-29,Республики Саха (Якутия),2021,Засуха
574,вызов вертолета для туристки,"на территории МО ""Момский район"",  В.В. Корякина с 02.08.2021 г. №200 Распоряжением заместителем главы введен режим ЧС ( в целях вызова вертолета доставки пострадавшей)",Муниципальный,,,,,2021-08-02,Момский муниципальный район,2021,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
575,атмосферная засуха,"Распоряжением №1521-р И.О. Главы ГО ""г.Якутск"" А.Д. Корниловым введен режим ЧС в связи с возникшей вследствие неблагоприятных условий для произрастания естественных трав и атмосферной засухи",Муниципальный,,,,,2021-08-02,Городской округ Город Якутск,2021,Засуха
576,Лесные пожары,"На территории МР ""Усть-Алданский район"", с 03.08.2021 г.  №432 Распоряжением Главы введен режим ЧС",Муниципальный,,,,,2021-08-03,Усть-Алданский муниципальный район,2021,Природные пожары
577,Лесные пожары,"На территории Республики Саха (Якутия), А.Николаева с 08.08.2021г. №2013 Указом Главы  РС(Я) введен режим ЧС (в связи с переходом лесных пожаров на территории населенных пунктов, объектов экономики).",Региональный,,,,,2021-08-08,Республики Саха (Якутия),2021,Природные пожары
578,Лесные пожары,"Распоряжением Первого заместителя Главы МО ""Чурапчинский район"" А.А. Ноговицыным введен режим ЧС в лесах муниципального характера, возникшей вследствие лесных пожаров.",Муниципальный,,,,,2021-08-08,Чурапчинский муниципальный район,2021,Природные пожары
579,Лесные пожары,Решением КЧС ОПБ Намского района от 09.08.2021 г. №25 введен режим «Чрезвычайной ситуации» на территории Намского района,Муниципальный,,,,,2021-08-09,Намский муниципальный район,2021,Природные пожары
580,Лесные пожары,"На территории Республики Саха (Якутия), с 13.08.2021г. №3 Указом Главы  РС(Я) введен режим ЧС (в связи с лесным пожаром).",Межрегиональный,,,,,2021-08-13,Республики Саха (Якутия),2021,Природные пожары
581,Гидрология,"На территории МО ""Томпонского района"" от 30.08.2021 г. № 897  введен режим ЧС на территории Томпонского района",Муниципальный,,,,,2021-08-30,Томпонский муниципальный район,2021,Угроза аварии на ГТС
582,Лесные пожары,"Решением КЧС № 1844 с 09.05.2021 г. №14-53 введен режим «Чрезвычайной ситуации» на территории МО ""Югюлятский наслег"" (возникший вследствии лесного пожара)",Муниципальный,,,,,2021-09-08,Вилюйский муниципальный район,2021,Природные пожары
583,Поисковые работы,"На территории ""Булунского района"" , Распоряжением  Главы И.В. Кудряшова с 15.09.2021 г. №351-р  введен режим ЧС , пропажа Горохова Победа Николаевича",Муниципальный,,,,,2021-09-15,Булунский муниципальный район,2021,Поисковые работы
584,"Поисковые работы, эвакуация людей","На территории МО ""Черюмчинский наслег"" Верхоянского района, Распоряжением Первого заместителя Главы Г.Г. Ефимовым со 02.10.2021 г. №651-РА  введен режим ЧС , в связи с необходимостью эвакуации 4 граждан с реки Ольджо попавших в затруднительное положение",Муниципальный,,,,,2021-10-02,Верхоянский муниципальный район,2021,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
585,Поисковые работы,"Распоряжением Главы «Тюметинского национального (Эвенкийского) наслега» Булунского района от 09 ноября 2021 г. №54 на территории «Тюметинского национального (Эвенкийского) наслега» Булунского района введен режим «Чрезвычайная ситуация» муниципального характера (поисковые работы, в связи с пропажей ребенка 2006 г.р.).",Муниципальный,,,,,2021-11-09,Булунский муниципальный район,2021,Поисковые работы
586,Поисковые работы,"Распоряжением и.о. Главы МР ""Кобяйский район"" №1539-Р от 17.12.2021 введен режим ЧС для Кобяйского звена РТП РСЧС, в связи с проведением поисково-спасательных работ гр. Гнездилова Анатолия Павловича 1954 гр.",Муниципальный,,,,,2021-12-17,Кобяйский муниципальный район,2021,Поисковые работы
587,Отсутствие автодороги (автозимник),"Распоряжением 1-го заместителя главы МР ""Кобяйский район"" А.С.Сивцева от 24.12.2021 №1594-р введен режим ЧС для органов управления и сил Кобяйского звена ЯТП РСЧС, в связи с затором автомашин на автозимнике Себян-Кюель в 30-50 км от с . Себян Кюель",Муниципальный,,,,,2021-12-24,Кобяйский муниципальный район,2021,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
588,биолого социального,"Распоряжением Главы ГО «город Якутск» № 2738р с 2100 29.12.2021г., в связи с участившимися нападениями безнадзорных животных на население, введен режим «Чрезвычайная ситуация» в пределах границ территории Автодорожного округа.",Муниципальный,,,,,2021-12-29,Городской округ Город Якутск,2021,Связанные с нападением диких животных
589,Поисковые работы,"Распоряжением 1 зам.Главы МР «Вилюйский улус (район)"" от 07.05.2022г. №433 введен режим ЧС на территории Вилюйского улуса, в целях спасения людей, жизни и здоровью которых имеется угроза.",Муниципальный,,,,,2022-05-07,Вилюйский муниципальный район,2022,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
590,Весеннее половодье,"Распораяжением и.о. Главы МР ""Горный улус"" от 14.05.2022г. №1157/01-02 введен режим ЧС на территории с.Ерт Шологонского района, в связи с затоплением жилых домов и социально-значимых объектов.",Муниципальный,,,,,2022-05-14,Горный муниципальный район,2022,Весеннее половодье
591,Весеннее половодье,"       Постановлением Главы с.Чагда Нижилинский наслег МР ""Кобяйский улус (район)"" от 18.05.2022г. №7-ПГ введен режим ЧС на территории с.Чагда Нижилинского наслега, в связи с затоплением жилых домов по улице Центральная с.Чагда Нижилинского наслега.",Муниципальный,,,,,2022-05-18,Кобяйский муниципальный район,2022,Весеннее половодье
592,Весеннее половодье,"Распоряжением и.о. Главы с.Хоринцы Хоринский наслег МР ""Олекминский район"" от 19.05.2022г. №30-3 введен режим ЧС на территории с.Хоринцы Хоринский наслег, в связи с затоплением жилых домов.",Муниципальный,,,,,2022-05-19,Олекминский муниципальный район,2022,Весеннее половодье
593,Весеннее половодье,"Распоряжением Главы ГО ""Город Якутск"" от 23.05.2022г. №1023р  введен режим ЧС на территории ГО ""Город Якутск"", в связи с затоплением жилых домов в мкр. Даркылах, Тулагино-Кильдямском наслеге и мкр.Кангалассы.",Муниципальный,,,,,2022-05-23,Городской округ Город Якутск,2022,Весеннее половодье
594,Весеннее половодье,"Распоряжением Главы МО ""Намский район"" от 23.05.2022г. №925-р введен режим ЧС на территории Намского района, в связи с затоплением жилых домов, СЗО и внутрипоселковых автомобильных дорог н.п. Ымыяхтах, Хатас, Партизан, Крест-Кытыл, Намцы, Графский БеРегиональный и Бютяй-Юрдя.",Муниципальный,,,,,2022-05-23,Намский муниципальный район,2022,Весеннее половодье
595,Весеннее половодье,"Распоряжением Главы Суоттунский наслег МР ""Усть-Алданского улуса (район)"" от 23.05.2022г. №75 введен режим ЧС на территории Суоттунского наслега, в связи с размывом внутрипоселковых автомобильных дорог н.п. Огородтах и Хоногор.",Муниципальный,,,,,2022-05-23,Усть-Алданский муниципальный район,2022,Весеннее половодье
596,Природные пожары,"Постановлением Главы МО ""Нерюнгринский район"" от 11.06.2022г. №1109 введен режим ЧС на территории Нерюнгринского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-06-11,Нерюнгринский муниципальный район,2022,Природные пожары
597,Природные пожары,"Распоряжением Главы МО ""Сень-Кюельский наслег"" Среднеколымского района от 16.06.2022г. №90 введен режим ЧС на территории  МО ""Сень-Кюельский наслег"" Среднеколымского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-06-16,Среднеколымский муниципальный район,2022,Природные пожары
598,Природные пожары,"Постановлением Главы Мирнинского района от 18.06.2022г. №894 введен режим ЧС на территории Мирнинского района, с 19.06.2022г. в связи с лесными пожарами.",Муниципальный,,,,,2022-06-18,Мирнинский муниципальный район,2022,Природные пожары
599,Природные пожары,"Распоряжением Главы СП ""Чаринский национальный наслег"" Олекминского района от 19.06.2022г. №32 введен режим ЧС на территории СП ""Чаринский национальный наслег"" Олекминского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-06-19,Олекминский муниципальный район,2022,Природные пожары
600,Природные пожары,"Распоряжением Главы МР ""Олекминский район"" от 20.06.2022г. №650 введен режим ЧС на территории Олекминского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-06-20,Олекминский муниципальный район,2022,Природные пожары
601,Поисковые работы,"Распоряжением И.о. Главы МР «Кобяйский район"" от 22.06.2022г. №878-р введен режим ЧС на территории Кобяйского района, в связи с проведением поисково-спасательных мероприятий пропавшего ВС АН-2 с 3 людьми.",Муниципальный,,,,,2022-06-22,Кобяйский муниципальный район,2022,Поисковые работы
602,Природные пожары,"Постановлением Главы МР ""Томпонского района"" от 27.06.2022г. №693 введен режим ЧС на территории Томпонского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-06-27,Томпонский муниципальный район,2022,Природные пожары
603,Природные пожары,"Распоряжением Главы МР ""Усть-Майский район"" от 27.06.2022г. №248-р введен режим ЧС на территории Усть-Майского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-06-27,Усть-Майский муниципальный район,2022,Природные пожары
604,Природные пожары,"Указом Главы Республики Саха (Якутия) от 28.06.2022г. №2527 введен режим ЧС на территории Республики Саха (Якутия), в связи с лесными пожарами.",Региональный,,,,,2022-06-28,Республики Саха (Якутия),2022,Природные пожары
605,Техногенный,"Решением заместителя председателя КЧС и ПБ МР «Алданский район» от 30.06.2022 г. № 44 введен режим ЧС на территории МР «Алданский район», в связи с жесткой посадкой ВС Ми8МТВ АК «Полярные авиалинии», следовавшего по маршруту г. Алдан – п. Усть-Мая – г. Алдан.",Муниципальный,,,,,2022-06-30,Алданский муниципальный район,2022,Авиационные инциденты
606,Природные пожары,"Постановлением Главы МО «Нерюнгринский район» от 03.07.2022 г. № 1214 введен режим ЧС в лесах на территории Нерюнгринского района, в связи с природными пожарами.",Муниципальный,,,,,2022-07-03,Нерюнгринский муниципальный район,2022,Природные пожары
607,Летний паводок,"Распоряжением Главы сельского поселения «Ламынхинский эвенский национальный наслег» МР Кобяйский район, в связи с последствиями дождевых паводков.",Муниципальный,,,,,2022-07-08,Кобяйский муниципальный район,2022,Летне-осенний паводок
608,Летний паводок,"Распоряжение заместителем главы МО ""Верхоянский район"" от 09.07.2022 г. № 696-РА,  в связи с последствиями дождевых паводков.",Муниципальный,,,,,2022-07-09,Верхоянский муниципальный район,2022,Летне-осенний паводок
609,Летний паводок,"Распоряжение Главы МО ""г. Верхоянск Верхоянскогог района"" от 12.07.2022 г. № 26, в связи с последствиями дождевых паводков.",Муниципальный,,,,,2022-07-12,Верхоянский муниципальный район,2022,Летне-осенний паводок
610,Летний паводок,"Указом Главы РС (Я) №2547 от 13.07.2022г., в связи с последствиями дождевых паводков.",Региональный,,,,,2022-07-13,Республики Саха (Якутия),2022,Летне-осенний паводок
611,Природные пожары,Согласно протокола заочного заседания Правительственной комиссии по предупреждению и ликвидации чрезвычайных ситуаций и обеспечению пожарной безопасности №4 от 18-19 июля 2022 г. на территориях Республики Саха (Якутия) и Хабаровского края установлен режим функционирования чрезвычайной ситуации для органов управления и сил функциональной подсистемы охраны лесов от пожаров и защиты их от вредителей и болезней леса единой государственной системы предупреждения и ликвидации чрезвычайной ситуаций.,Федеральный,,,,,2022-07-18,Республика Саха (Якутия) и Хабаровский край,2022,Природные пожары
612,Природные пожары,"Постановлением Главы МО «Нерюнгринский район» от 24.07.2022 г. № 1364 введен режим ЧС в лесах на территории Нерюнгринского района, в связи с природными пожарами.",Муниципальный,,,,,2022-07-24,Нерюнгринский муниципальный район,2022,Природные пожары
613,Природные пожары,"Распоряжением Главы МР ""Таттинский район"" от 25.07.2022г. №898-р введен режим ЧС на территории Таттинского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-07-25,Таттинский муниципальный район,2022,Природные пожары
614,заготовка сена,"Распоряжение Главы МО ""Кобяйский район"" от 26.07.2022 г. № 1056-Р,  по заготовке сена",Муниципальный,,,,,2022-07-26,Кобяйский муниципальный район,2022,Лесное хозяйство
615,Природные пожары,"Распоряжением Главы МР ""Нюрбинский район"" от 26.07.2022г. №1450 введен режим ЧС на территории Нюрбинского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-07-26,Нюрбинский муниципальный район,2022,Природные пожары
616,Природные пожары,"Решением Председателя КЧС и ПБ МР ""Алданский район"" от 24.07.2022г. №51 введен режим ЧС на территории Алданского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-07-24,Алданский муниципальный район,2022,Природные пожары
617,Природные пожары,"Постановлением Главы Мирнинского района от 28.07.2022г. №1082 введен режим ЧС на территории Мирнинского района, с 28.07.2022г. в связи с лесными пожарами.",Муниципальный,,,,,2022-07-28,Мирнинский муниципальный район,2022,Природные пожары
618,Природные пожары,"Распоряжением Главы СП ""Нахаринский наслег"" Сунтарского района от 28.07.2022г. №35 введен режим ЧС на территории СП ""Нахаринский наслег"" Сунтарского района, в связи с лесными пожарами.",Муниципальный,,,,,2022-07-28,Сунтарский муниципальный район,2022,Природные пожары
619,Природные пожары,"Распоряжением Главы Среднеколымского района от 02.08.2022 г. № 520-а введен режим ЧС в лесах, возникших вследствие лесных пожаров.",Муниципальный,,,,,2022-08-02,Среднеколымский муниципальный район,2022,Природные пожары
620,Техногенные,"Распоряжением Главы Булунского района от 15.08.2022 г. № 9 введен режим ЧС в связи с угрозой обрушения плотины, вызванной усиленной фильтрацией (утечки) водных запасов из водохранилища на озере ""Мелкое"".",Муниципальный,,,,,2022-08-15,Булунский муниципальный район,2022,Угроза аварии на ГТС
621,Природные пожары,"Распоряжением Главы МО ""Мятисский 1-й наслег"" от 20.08.2022 г. № 128 введен режим ЧС в лесах, возникших вследствие лесных пожаров.",Муниципальный,,,,,2022-08-20,Среднеколымский муниципальный район,2022,Природные пожары
622,Летний паводок,Распоряжением И.о. главы Усть-Майского улуса (района) от 26.08.2022 г. №317-р введен режим ЧС для органов управления сил Усть-Майского звена Якутской территориальной подсистемы Единой государственной системы предупреждения и ликвидации ЧС в результате дождевого паводка,Муниципальный,,,,,2022-08-26,Усть-Майский муниципальный район,2022,Летне-осенний паводок
623,Поисковые работы,Распоряжением Главы Усть-Янского улуса (района) от 07.09.2022г. №344-РГ введен режим ЧС для органов управления сил Усть-Янского звена Якутской территориальной подсистемы Единой государственной системы предупреждения и ликвидации ЧС на период проведения поисково-спасательных мероприятий.,Муниципальный,,,,,2022-09-07,Усть-Янский муниципальный район,2022,Поисковые работы
624,Поисковые работы,Распоряжением Главы Булунского улуса (района) от 02.10.2022г. №411-р введен режим ЧС для органов управления сил Булунского звена Якутской территориальной подсистемы Единой государственной системы предупреждения и ликвидации ЧС на период проведения поисково-спасательных мероприятий.,Муниципальный,,,,,2022-10-02,Булунский муниципальный район,2022,Поисковые работы
625,Поисковые работы,Распоряжением Главы Булунского улуса (района) от 13.10.2022г. №427 введен режим ЧС для органов управления сил Булунского звена Якутской территориальной подсистемы Единой государственной системы предупреждения и ликвидации ЧС на период проведения поисково-спасательных мероприятий.,Муниципальный,,,,,2022-10-13,Булунский муниципальный район,2022,Поисковые работы
626,Поисковые работы,Распоряжением Главы Булунского улуса (района) от 17.10.2022г. №431 введен режим ЧС для органов управления сил Булунского звена Якутской территориальной подсистемы Единой государственной системы предупреждения и ликвидации ЧС на период проведения поисково-спасательных мероприятий.,Муниципальный,,,,,2022-10-17,Булунский муниципальный район,2022,Поисковые работы
627,Техногенный,"Распряжением окружного адмистративного города Якутска от 03.11.2022г. №2356р  введен режим функционирования «Чрезвычайная ситуация» органам управления и силам Якутского городского звена Якутской территориальной подсистемы Единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций в связи с температурой воздуха в помещениях МКУ «Централизованная бухгалтерия муниципальных общеобразовательных учреждений» ГО «город Якутск», расположенных по адресу: г. Якутск ул. Дзержинского, 52/3.",Локальный,,,,,2022-11-03,Городской округ Город Якутск,2022,Аварии в отопительный сезон
628,техногенный,"Постановлением Главы МО «Поселок Светлый» Мирнинского района №5 от 18.01.2023 г.введен режим «Чрезвычайная ситуация», в связи с аварией на объекте водоснабжения приведшей к нарушению условий жизнедеятельности 50 человек и более на 1 сутки и более.",Муниципальный,,,,,2023-01-18,Мирнинский муниципальный район,2023,Угроза аварии на ГТС
629,техногенный,"Решением Комиссии по предупреждению и ликвидации чрезвычайных ситуаций и обеспечению пожарной безопасности на территории Булунского района РС(Я) №2 от 23.01.2023 г. введен режим ""Чрезвычайная ситуация"", в связи с угрозой вызванной фильтрацией (утечки) водных запасов из водохранилища на озере Мелкое.  ",Муниципальный,,,,,2023-01-23,Булунский муниципальный район,2023,Угроза аварии на ГТС
630,Биолого-социальный,"Постановлением Главы СП «Кюндядинский наслег» Нюрбинского района №8 от 30.01.2023 г.введен режим «Чрезвычайная ситуация», в связи травлями лошадей волками на территории СП ""Кюндядинский наслег"".",Муниципальный,,,,,2023-01-30,Нюрбинский муниципальный район,2023,Связанные с нападением диких животных
631,Весенее половодья,"С 07.05.2023 г. № 422/01-02 Распоряжением главы МР Горный улус введен режим «Чрезвычайная ситуация» на территории МР «Горный улус», в связи затоплением домов в населенных пунктах с Ерт, с. Бясь-Кюель, с. Магарас, размывами дороги «Орто-Сурт - Кептин», «Бэрдьигестях - Дикимдя», и нанесением материального ущерба и нарушением условий жизнедеятельности пострадавшего населения.",Муниципальный,,,,,2023-05-07,Горный муниципальный район,2023,Весеннее половодье
632,Весеннее половодье,"Распоряжением главы Нижилинского наслега Кобяйского района с 10.05.2023 г. №11-ПГ введен режим ""Чрезвычайная ситуация"", в связи с подтоплением жилых домов в селе ""Чагда"" Кобяйского улуса (района) Республики Саха (Якутия).",Муниципальный,,,,,2023-05-10,Кобяйский муниципальный район,2023,Весеннее половодье
633,Весеннее половодье,"Расспоряжением И.О. Главы МР ""Кобяйский район"" введен режим ""Чрезвычайная ситуация, связанной с подъемом уровней воды в СП Нижилинский наслег"" с. Чагда, МО ""Ситтинский наслег"" с. Ситта, а также размытием участков автодорог Региональныйионального значения ""Кобяй"" на участке с.Кюереллях - с. Кобяй, ""Лючинская"" на участке с. Хампа-с.Мастах, ""Сангар"" на участке Баргы-С.Ситтэ.",Муниципальный,,,,,2023-05-11,Кобяйский муниципальный район,2023,Весеннее половодье
634,Весенее половодья,"Распоряжением главы Ситтинского наслега Кобяйского района с 11.05.2023 г. №123 введен режим ""Чрезвычайная ситуация"", в связи с подтоплением улиц Набережная, Новая, Лесная, мостового сооружения через речку Синньигэс Атах, частично Кирова и Портовская, а также жилых дворовых территорий, хозяйственных построек по улицам Набережная, Кирова, Лесная, Новая, Озерная села Ситте Кобяйского улуса.",Муниципальный,,,,,2023-05-11,Кобяйский муниципальный район,2023,Весеннее половодье
635,Весенее половодья,"Распоряжением Главы МР «Усть-Алданский улус (район)» «396 от 16.05.2023 г. введен режим «Чрезвычайная ситуация» на территории МР «Усть-Алданский (улус) район», в связи с повышением уровня воды на малых реках c 10 по 16 мая 2023 года, в результате размытия (повреждения) автомобильных дорог муниципального значения «Борогонцы –Танда – Тит-Ары – Бярийе – Кылайы», «Борогонцы – Курбусах», «Борогонцы – Эселях», а также произошедшего размыва земляного полотна автомобильной дороги республиканского значения «Мюрю» на участке 124км-150км.",Муниципальный,,,,,2023-05-16,Усть-Алданский муниципальный район,2023,Весеннее половодье
636,Весеннее половодье,"Распоряжением Главы МР «Таттинский улус» (район) с 18.05.2023 г. №922-р введен режим «Чрезвычайная ситуация» на территории МР «Таттинский улус» (район), в связи с угрозой подтопления н.п. Черкех, Боробул, Ытык-Кюель, из-за разрушения тела дамбы водохранилища с.Кыйы и дамбы ремонтируемого шлюза Региональныйулятора ГТС «Сиккэс», и в связи с разрывами дорожного полотна талыми водами муниципальных автодорог «Харбалах - Чымнай», «Черкех - Дая-Амга», «Ытык-Кюель - Томтор»",Муниципальный,,,,,2023-05-19,Таттинский муниципальный район,2023,Весеннее половодье
